Ghost Rider 2 is pretti shit I like the 1st one in all honesti but the 2nd is badli directed the shaki camera style is disorient  negative 1 1 1 0 1 0 0 0 0 0 0 1 0 0 0 
10 Thing to Know for Friday The U Postal Service on the brink of default on a second. ||U||  negative 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 
Heat versu Knick gone be the best seri in the 1st round  positive 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
I 'm go to Halestorm at Backstag Live in San Antonio TX Nov 10 ||U||  objective-OR-neutral 1 0 1 1 0 0 0 0 0 0 0 1 1 0 0 
Playstat Vita order I should have it on Tuesday and then LBPV the Tuesday after that e1  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
Man I 'm sorri for the death of MR.MITCH LUCKER May he rest in PEAC  negative 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 
nickelodeon slimefest is on saturday 15th of Septemb at the Hordern Pavilion near moor park feat justic crew stan walker and mani more  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Jinja Safari have Hiccups catch them live thi Thursday with Opossom and White Arrow on the Blind Date Tour ||U||  objective 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
Just met with CJ banjo player in ||T|| Come out to Neighborhood Theatr on June 23rd for the concert ! You wo n't want to miss it ! !  positive 1 1 1 1 0 0 1 0 0 0 1 1 0 0 1 
Mass tomorrow then Retreat Friday with the good friend ||T||  neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
Well monsoon come in from the North and the Bomb Squad down in Midtown on the 15th Time to go  neutral 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
Tomorrow is go to be an easi day Just show my bib card for Eng which will be like 25 minut sinc I 'm LAST then get my test back in math  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
Hey ! Lauren clarinet ! would like you all to know about thi event host by BRIC ! Hey everyone so on Sunday,. ||U||  objective-OR-neutral 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
Now got to wait for Friday for the Knick first game  objective 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
||T|| Riri is the queen of shade Becaus her forehead block out the sun  neutral 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
||T|| Then he make hi first career field goal for Edmonton on Novemb 1 What a year  positive 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Someday I 'll have a parti and that parti 'll be name Angelo 's 18th ye after 2 more year I just turn Sixteen and I 'm a colleg student  positive 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 
On Thursday over fifti countri and intern organis will come togeth for the London Confer on. ||U||  objective 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Damn I would total buy the Sun for thi ||T|| Futur of news again Free Hawkey Lego with Murdoch 's Sun ||U||  positive 1 1 1 1 0 0 0 0 0 0 0 1 0 0 0 
||T|| The U Postal Servic report a $ 5.2 billion quarterli loss say it is nearli out of cash.&lt - Sat mail will be gone veri soon.  negative 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 
have n't watch TTOA with Eng Sub yet got to sleep now go to watch it tomorrow ~ O ~ zZ Gud night tlist  objective 0 0 1 0 0 1 1 0 0 0 0 1 0 0 1 
play the song 'Ai n't No Need To Worri Album Version by THE WINAN on ||T|| ||U||  neutral 1 0 1 1 0 0 1 0 0 0 0 1 0 0 1 
Our SE member the Alresford Commun Choir to share the stage with Brit Award win ||T|| on Sep 15 ||T|| How excit !  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
Nobel Peac laureat Jose Ramos-Horta warn Monday that Syria risk becom a new Somalia as he voic pessim http://t.co/laxozNGJ  negative 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
I 'm excit for Riri 's 7th studio album Unapologet See the album cover ||U||  positive 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 
||T|| I think that 's standard now It 's actual an improv Befor they were say the 11th Now the 9th  positive 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 
Everi Thursday I fall more and more in love with Maya Rudolph  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
Open Dialog is cosponsor with GLOBE to present to you Search for Social Justic next Wednesday at 6pm ||U||  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
from the old ||T|| Alsip Sign Do it now sinc it will be yesterday tomorrow ||U||  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
gunna snow WC say Winter Storm Watch till 5pm tomorrow it wa 80 * F yesterday  objective 0 0 1 0 0 1 0 0 0 1 0 1 0 0 1 
||T|| follow ||T|| and meet her on NOVEMB 26 she deserv to meet you,crew &amp justin She 'll be at the bell center at 4 !  positive 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 
extra point is no good It DSU 28 Morgan State 20 with 5 02 left in the 3rd quarter  negative 1 1 1 1 0 0 0 0 0 0 0 1 0 0 1 
I think Matti may have just impli that Max is do a Christma song Or Lulu Or Durston  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 
I have tkt to see Plan B next Feb he ha alreadi announc hi support acts Labrinth and Rudiment ! ! ! ! thi news ha made me tre happi  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 
||T|| if you get unground tomorrow go to Lauren 's birthday kickback  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Three time Grammi nominated Brit Award nomine and Ivor Novella winner Joan Armatrad take to the stage on Sunday ! ||U||  positive 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 
Instant Messag spend my hole friday with bodi odour we gone blow sme keisha and grab a pack of black and watch the battl of lebron career vs CARMELO ANTHONi  objective 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
hey ||T|| I have a concert thi Saturday at Bedolla Skater Boyz in Alsip IL at 6pm Ani chanc I could get you to show ?  neutral 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 
Scrubbin to the max tomorrow caus I got to work out and leav for a game  objective 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 
i keep think about the fact that MMG will be in lexington on saturday and i wo n't be there  negative 0 0 1 0 0 1 1 0 0 0 0 1 0 0 1 
Who start at QB on Friday ? I 'd play Nichol Have said that all year He had a big Q4 with key target and ha alreadi play Calgari  objective 1 0 1 1 0 0 0 0 1 0 0 1 0 0 1 
||T|| Hi Ashley My country,South korea like the US will be the Presidenti elect on Decemb 19 e1  objective 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
White Arrow play The Earl on OCTOB 9TH with Famili of the Year and The New Cassett DO N'T MISS THI ||U||  objective 1 1 1 1 0 0 0 0 0 0 0 1 0 1 1 
Volunt 4 the Obama campaign thi AM ! But I keep waitin 4 to come in yell Super Tuesday is come peopl ! ||T||  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
Anonymous WikiLeak like Project Tyler to Launch in Decemb A hacker who claim to be a member of the hackin. ||U||  objective 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
Go to 3MPH a Woman 's Walk Around the at Chautauqua Commun Hous on Mon Nov 12 ||U||  objective 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
Erot Asphyxiation Evanescence Strip Club and Kaaba have been the topic of my discuss today ! Happi Friday ? !  positive 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 
||T|| hey sue So excit to see you at WPPI U tomorrow We 're come denial of normal Canada and would love to buy you a drink ||T||  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
||T|| Thi Sunday the actual work is just east of Edmond But there will be a coupl of delay impact all Eastbound servic ^ DA  objective-OR-neutral 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 
Tyga 's Careless World move down five spot to No 48 with 8,300 Head into hi 10th week the YMCB rapper 's LP ha sold 199,400 record  objective 1 1 1 0 1 0 0 0 0 0 0 1 0 0 1 
on my YM shit right now just finish listen to I Am Not A Human Be now go onto Pink Friday after this hello Careless World  neutral 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 
And the Monstographi bid begins. Silent auction close Tuesday 20th 8pm Who will be NZ 's next top Mon ||U||  objective-OR-neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
Oct 9 1888 The Washington Monument offici open to the gener public Have you been to visit ?  objective 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 
Today Sefton v ||T|| HOME 12noon includ Presid 's Day 2nd XI v ||T|| Away 12.45pm Let hope the forecast 's wrong !  objective 1 1 1 0 1 0 0 0 0 0 1 1 0 0 1 
Brandon Weeden is go to be a player someday He 's not right now Ron Jaworski just now on Sunday NFL Countdown  positive 0 0 1 0 0 1 1 0 0 0 0 1 0 0 1 
S/o to one of my client for the season tick ! SATURDAY WE ARE LIVE IN LEXINGTON LEVEL ||U||  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 
||T|| what do you expect Thursday ? Are you go to pull out that Mikey Magic on Duel day again ?  neutral 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 
||T|| Bring GTA3/Vic Citi 10th Anniversari to the PS Vita !  neutral 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 
Im embrac the overs sun glass look with my new glass They are too awesom not to I feel like Jacki e1  positive 0 1 1 0 1 0 1 0 0 0 0 1 0 0 0 
So June 9th is the day Thi is go to be wors the the Galaxi Foam  negative 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
||T|| ||T|| I certainli would n't be spend my hard earnt take the kid to see say Shel 2nd XI v us club will fold no doubt  negative 0 1 1 0 1 0 1 0 0 0 0 1 0 0 1 
Watch live stream video of the Pancak Day activ tomorrow at ||U|| Make sure you. ||U||  objective-OR-neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
||T|| no more mention of FlatBush Zombi Are you go to hi concert tomorrow ? !  objective-OR-neutral 0 1 1 0 1 0 0 0 1 0 1 0 0 0 0 
is worri about Black M.Henc Riot See # MSM lie thin crowd at Ramlila on 3rd day hyper text transfer protocol //t.co/w5NNSQyW and http://t.co/8cC0KfaB  objective-OR-neutral 0 1 1 0 1 0 0 1 0 0 0 1 0 0 1 
Francesco Totti think Roma will be unabl to catch Juventu &amp want the side to AOL instant messang for 3rd thi season ||U||  negative 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
||T|| Such a cool thing you 're do ! Ubuntu Bridg I vagu recal them expand to Zulu May be abl to give.y a contact o/wis  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 
||T|| Present DETHKLOK with MACHIN HEAD ALL THAT REMAINS and BLACK DAHLIA MURDER ! TUESDAY NOVEMB 13TH AT THE VENU AT THE HUB !  objective 0 1 1 0 1 0 0 0 0 0 1 1 0 1 1 
One more day left in Iqaluit Back home in Ottawa tomorrow  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Monday at Town Ballroom RICHI HAWTIN with LOCO DICE Dude is so awesom Tix still avail at ||U|| http://t.co/HvKJ6hqt  positive 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
Watch The Wiggl for the 1st time Wa embarrass for those men &amp then I rememb that they are probabl FILTHi RICH  negative 1 1 1 1 0 0 0 0 0 0 0 1 1 0 0 
wa sat watch Degrassi then came to the realis that Littl Thing will be air in a while  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
The Knick got the Heat at MSG tomorrow ! Gon not applic be tough but we got thi ! !  positive 1 0 1 1 0 0 1 0 0 0 1 1 0 0 1 
||T|| Russel you beat me 2 it laugh out loud I wa go to tweet about the Classic Brit Award be on thi Sunday xxxxxxx  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
Madison do n't wipe your black line off ! ! It 's like Ash Wednesday you do n't wipe that shit off  negative 1 0 1 1 0 0 1 0 0 0 1 0 0 0 0 
If I 'm a CiCi 's buffet these mosquito are go in on me like obes Cathol on the last Friday of Lent  objective-OR-neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
How have I miss that today is Nation Margarita Day ? ! ? ! ? Kinda doe n't go with Ash Wednesday...  negative 0 1 1 0 1 0 1 0 1 0 1 1 0 0 0 
Tonight 's the decid - will I be at the Garden friday night for Knicks/Heat game 6 ? Here 's hope for a miracle.  positive 1 0 1 1 0 0 0 0 1 0 0 1 0 0 0 
||T|| are you come to nz tonight or tomorrow morn ? ? Waaa Instant Messag so confus e-1  negative 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 
||U|| Price I 'd take Vitali fight David Price say he would fight Vitali K. ||U|| CLICK-1st-LINK ! 2WIN  objective-OR-neutral 0 1 1 0 1 0 0 0 0 0 1 1 0 0 1 
My Miami Heat are go to Demolish the New York Knick tomorrow I am from New York But sorri knick ! !  positive 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 
Indian Ocean with ||T|| got 1.4m viewer on Sunday with repeat programm about Somalia More than doubl much trail show on C4  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
||T|| Sarah G Day is now on it 4th consecut day on the top spot  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
Bless is the heart that bends it will never be broken-- Luca Scott Good pre-bedtim OTH after a busi day ! Ca n't wait for tomorrow  positive 1 0 1 1 0 0 1 0 0 0 1 1 0 0 1 
Freestyl Wednesday Big L Jay Z Mo Def Black Thought Eminem Yelawolf. Love it  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
Winter Storm Watch for portion of the WDBJ7 view area until 8 00pm Tuesday ||U||  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
About India Auto product may end FY13 with 6 % growth CMIE Mumbai Automobil production which took a. ||U||  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
||T|| good argument howev IT A GAMBL that wo n't pay off wors still I think the constitut ha a deadlin of Dec 4th  negative 1 1 1 1 0 0 1 0 0 0 0 1 0 0 1 
I saw Kati Price wa at the Hay / Chisora fight-now she 's go to be at the Olymp box train venu on Saturday spar ! !  objective 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 
||T|| Yeah bro ! Girl Gone Wild is host a parti friday hahahah Make sure your in shape befor bootcamp otherwis it will suck  objective-OR-neutral 1 1 1 1 0 0 0 0 0 0 1 0 0 0 0 
Soni 's put out a new PS3 Firmwar Updat on Tuesday that FINAL let you see your PS Vita trophi on PS3 About * * * * ing time Soni  objective-OR-neutral 0 0 1 0 0 1 0 0 0 1 0 1 0 0 1 
Who want to see Maya Rudolph sing Princ with my Thursday night  objective-OR-neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
||T|| I love NZ wa there in Feb have friend with vineyard which is use ! ! In Nelson love part of NZ !  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
First 24 hour in London got given a free rail card saw 3 squirrel go to work may have found a home &amp there 's big Alan rickman poster  objective-OR-neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
GM FBF let 's go ole school today...Th Winans the choic 1 Tomorrow 2 Uphold Me or 3 Bring Back The Days the vote begin now !  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 
||T|| check ||T|| timelin mate look like we 'll find out if we found the gym If Vitali step up we may have to go too  neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
||T|| C'mon Leo where 's Endymion..... Or Amsterdam I know he like Amsterdam those song are shit compar to the one i put  negative 1 1 1 0 1 0 0 0 0 0 0 1 0 0 0 
A train from Napl to Milan made an unschedul 40-minut stop at Parma on Tuesday to drop off the Roma squad ahead of tonight 's game  neutral 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 
We close out the Knick tomorrow  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Just got the call the magazin is readi for pickup get your copi at the Hand That Heal Fashion Show Nov 4th Mr Reggi 404-246-9582  neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
Gown at the readi girls Q4 updat tomorrow ! ||T|| ||T||  objective 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 
I just need to chill Ca n't wait to unleash some aggress at Black Dahlia Murder tomorrow  negative 0 1 1 0 1 0 1 0 0 0 0 1 0 0 0 
So readi for my birthday the big SIXTEEN ! novemb 22 !  positive 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 
||T|| The pretti reckless my chemic romance a day to remember 30 second to mars hey monday evanescence mcfli etc  objective 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 
The sun is out for Presid 's Day ! Today will be a good day perfect way to finish the Cricket season  positive 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 
||T|| ||T|| WPPI start the 19th I believ That whi I 'm fli out the afternoon of the 18th  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
rita ora on xfactor on sunday which mean she 'll sing shine yeah light which i love which make me happi !  positive 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 
Just caught the last few minut of ||T|| track Endymion on ||T|| Great track to get readi for work with It my FRIDAY ! !  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
Richi Hawtin Monday Night Buffalo Town Ballroom Do n't miss it !  positive 1 0 1 1 0 0 1 0 0 0 1 0 0 0 0 
So mani show in the near futur Metafest Royal Teeth M83 White Arrows Grouplove SweetTeaPumpkinPi Music Fest and Take Back Sunday  objective 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
Dr Jan Radio 2uE tonight with David Oldfield repli Kevin Rudd 's sad loss of famili cat Pet deserv honour becaus they love unconditionally  negative 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 
Real test for thi weekend against the in form Bayer Leverkusen A win at home on Sunday will go a long way toward a 15 win streak  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
I just bought two ticket for the Sacramento King season open on Monday ! HYPE  objective 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 
Rondo should be glad the All-Star game is n't host in DC with those Galaxi Foam on  positive 1 0 1 1 0 0 1 0 0 0 0 1 0 0 1 
i 'll make my bid for the adida predat tomorrow Godwilling.  objective 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
||T|| Some of the Calgari runner head to NYC are go to be clean up debri on Friday at Rockaway Beach Great stori  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
Help me smart peep I need to get from the citi to Alsip back to the citi on a Friday night Cheapest way to go ? it 's for a wed  neutral 1 0 1 1 0 0 0 0 1 0 0 1 0 0 0 
Make sure everyon come out to our first open practic tomorrow at 6 30 at the Murphi Center in danc studio B ! ! !  objective-OR-neutral 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 
Just whoop some ASS in kill confirm with ||T|| and ||T|| tomorrow it back to makin kat cri in Gears3  positive 0 1 1 0 1 0 0 0 0 0 0 1 0 1 0 
||T|| katie. ha tomorrow is her last day  positive 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
||T|| he 's onli 4th best British fighter never mind world champ 1.HAY 2.FURi 3.CHISORA 4.PRICE  objective-OR-neutral 1 1 1 1 0 0 0 0 0 0 0 1 0 0 1 
I would like to trade Presid 's Day and Columbu Day for the day after the Super Bowl and Juli 5th pleas  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
||T|| on Septemb 5th The Finder reach italian televis with the worst titl translat ever FINAL ! ! ! e1  positive 1 1 1 0 1 0 0 0 0 0 1 1 0 0 1 
Accord to the radio Rihanna 's Birthday Cake is the offici 4th of Juli anthem Sound about right  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Jennif Aniston Justin Theroux high end shop time to decor the crib Tuesday E ! Onlin share the vid. ||U||  objective-OR-neutral 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 
Excit about the bump in RAM for Raspberri Pi Such a nice surpris for a Monday  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
I get to Procter the PSAT with my good friend ||T|| tomorrow ! ! ! It onli took them three year to partner us up laugh out loud  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
Anonym to Wikileak We 're more interest in transpar govt &amp bring out info they want to hide from public ||U||  positive 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 
Bayern Munich goalkeep Manuel Neuer show he could play in midfield v Bayer Leverkusen Bayern Munich may have. ||U||  neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
Porto is even more amaz as the sun sets. ||U||  positive 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Heat versu Knick first round of playoff tomorrow ! ! ! better bring it ! ! !  positive 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 
I guess Knicks/Heat is on for now Pretti clear that tomorrow 's game wa n't go to happen  negative 1 0 1 1 0 0 1 0 0 0 0 1 0 0 0 
||T|| follow ||T|| on novemb 26 find her outsid the bell center and meet her pleas ? &lt 31  neutral 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 
||T|| 1/2 white ? does'nt matter Malcolm X may have been as well.Stil no specifics.U peopl do n't have idea except make bomb killem all  negative 1 1 1 0 1 0 1 0 1 0 0 1 0 0 0 
Last day in Jeddah Will be in Brunei tomorrow night And then Surabaya the follow night And then Bali the night after that Whee !  neutral 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 
Cba for work thi weekend want to be a sloth on Sunday with ||T|| and ||T||  objective-OR-neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
Happi Birthday to the coolest golfer in Bali ! ||T|| ! ! e1 may you becom cooler and cooler everyday ! Stay humbl littl sister ! Xx  positive 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 
ME&amp ||T|| go to Phuk The Citi Up Sept 15 we take it back to Fairground for let see who rock men/women  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
watch Unoffici Your with Richard Mark Morcella hi partner and Jaja Abastilla  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Who 's appear at the Houston Livestock Show and Rodeo come March ? That is other than Georg Strait ? ||U||  neutral 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 
There are now onli EIGHT ticket left for ||T|| 's Novemb 5th show at the Leicest Squar Theatre Get in quick folk ! ! !  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 
if you LOVE to danc I hope to see you support thi event SATURDAY all INFO on the flyer ! ||U||  positive 1 0 1 1 0 0 0 0 0 0 1 1 1 0 1 
* rais hand * RT ||T|| Tomorrow by The Winan is on my heart so heavi thi morning. Wonder who need to hear it !  neutral 1 0 1 1 0 0 0 0 0 1 1 1 0 0 1 
Novemb 3rd-Norfolk VA-NorVa Theatr NA ONLi Novemb 4th-Washington,DC DAR Constitut Hall......for you concert seeker out there !  neutral 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 
||T|| Those who justifi Mumbai Polic 's incompet for Aug 11 are the same one who support Delhi Polic 's action at Ramlila.. ! !  neutral 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 
||T|| Two Birthday Cake ! One with Jelli Bean ! I wonder what kind of Birthday Cake the 2nd one wa ? Goodnight Kina Emi and Misa  neutral 0 0 1 0 0 1 0 0 1 0 1 1 0 0 0 
||T|| show at IU wa live ! Chicago tomorrow at Reggi 's with ||T|| &amp Boldi Block !  objective-OR-neutral 0 1 1 0 1 0 0 0 0 0 1 1 0 0 1 
Talk About The Histori of Valentin Day Everi Februari 14 across the Unit State and in other place around the. ||U||  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
May I get a Luca Scott for a sleepov tonight ? Pleas !  objective-OR-neutral 0 0 1 0 0 1 0 0 1 0 1 1 0 0 0 
Ash Wednesday lyric ~ she shout to the east god you better have someth better for me caus if thi is it well i want better than this.  positive 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
||T|| I just got back from Hawaii on Monday and I 'm feel sick too  negative 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 
Mncim the rain that stop last Saturday 's game wast our time waits ! Mayb SS4 would be play someth better tonight  negative 1 1 1 1 0 0 0 0 0 0 1 1 0 0 1 
When I see reaction to stori about benefit scrounger and the lazi poor in the Sun I wonder if Murdoch is a latter-day Pavlov  neutral 1 1 1 0 1 0 0 0 0 0 0 1 0 0 0 
Kinda sucks he miss my class graduat over someth he may or may not have done  negative 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 
||T|| I 'm sing What Make You Beauti for a school perform tomorrow ! Wish me luck ? Ani advic ? Follow ? Lol love you Niall  positive 1 0 1 1 0 0 0 0 1 0 1 1 0 0 0 
Aug 30 ! Toad Place New Haven CT Myself M.A.R. Jitta on the Track Danim Lector and more ! ||U||  neutral 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 
I 'm go to Babaman at Vidia in Cesena Itali Dec 22 ||U||  objective 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 
||T|| I 'm drop becca off tomorrow and then go to Ash  objective-OR-neutral 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 
Valentin day ha been cancelled..what ? Whi ? how ? you may be ask But you see it 's simpl math 14-2-12 e-1  negative 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 
THE SKINNi Breezi may be get it from RiRi AND ex KT Get that cake ! cake ! cake ! and eat it too &lt 3 ||U||  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 
If thi is the end for ||T|| I onc again have to commend ||T|| for hi emot Gari Carter memori show in Februari  objective-OR-neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
OMG ! ! ! Ramin and Sierra perform Phantom of the opera at the classic brit award televis on sunday ITV at 10.30pm ! ! ! ! e1  objective-OR-neutral 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
Seven ha 6 show in top 15 ABC 2nd with 5 Nine third with 4 Ten and SB rate 0 http://t.co/QBEBBrIG  objective 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
||T|| You bet ! And ||T|| &amp I will have Best Seat in the Hous on Mon  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 
From a Call to Prayer for America Saturday at the Washington Reflect pool with the Washington Monument in the. ||U||  objective 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
First time I ever heard SS wa in 6th grade and I actual love it I did n't know the song at the the time so I could n't continu to listen  positive 1 0 1 1 0 0 1 0 0 0 0 1 0 0 1 
||T|| We are have a Polit and Pancak program in the build next Tuesday night--you are welcom to come !  positive 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 
world war 3 ha been go on in my hous sinc Monday How long do these thing usual last ?  negative 1 1 1 0 1 0 0 0 1 0 0 0 0 0 0 
Could be one of the greatest night of my life Carmelo Anthoni wink &amp acknowledg me twice and sat 2 row back at the Knick game !  positive 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 
Proud of Aishwarya 's French honour Big B Mumbai Nov 2 IAN Megastar Amitabh Bachchan say he is proud that ||U||  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
Short hair is back ! Check it out clockwis Alicia K RiRi Miley C and Twiggi the 1st skinni model #pi ||U||  objective 0 0 1 0 0 1 0 1 0 0 1 1 0 0 0 
Lack of commun from veri frustrat regard report time for work tomorrow Thank you and ||T|| for Info  negative 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 
* * * Thursday night Friday night dinner special * * * Salmon &amp Jumbo Shrimp 15.95 Whole Fish Porgi 1.5lb with lemon. ||U||  objective 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 
Got new Aesop Rock Master Ace &amp DOOM Nas Flatbush Zombies Jon Connor &amp Cyhi readi for the flight tomorrow been sleep on lot of shit  neutral 0 1 1 0 1 0 0 0 0 0 0 1 0 1 0 
Foreign comment award at the goe to the late Mari Colvin of the Sunday Time  objective-OR-neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
